text,score
كشفت بيانات ملاحية أن سفينة متجهة لإسرائيل رست صباح الأحد في ميناء الدار البيضاء عند الساعة 4:48 بتوقيت غرينتش، رغم موجة الرفض الشعبي والاحتجاجات التي شهدتها مدن مغربية رفضا لدخول السفينة للبلاد.,0.3
خرجت مظاهرات حاشدة في عدد من العواصم والمدن حول العالم، عربية وغربية، تضامنا مع الشعب الفلسطيني وتنديدا بالهجمات الإسرائيلية المتواصلة على قطاع غزة، التي تسببت في سقوط آلاف الضحايا المدنيين.,1.6
شهدت منصات التواصل الاجتماعي في مصر حالة من الجدل، عقب قرار الحكومة إغلاق مجموعة “بلبن” التجارية وكافة العلامات التجارية التابعة.,9.3
طوت الولايات المتحدة الأميركية وإيران صفحة الجولة الثانية من محادثاتهما الصعبة، التي تمثل لحظة فارقة في مسار العلاقات بين الطرفين ومن شأن نجاحها أو فشلها أن يؤدي إلى تأثيرات بالغة تتجاوز حدود المنطقة.,2.1
عادت طائرة بوينغ 737 ماكس كانت مخصصة لشركة طيران صينية إلى الولايات المتحدة في ظل تصاعد الحرب التجارية بين البلدين، الأمر الذي يهدد بمزيد من التراجع في أسهم بوينغ التي تعتبر الصين شريكا رئيسيا لها.,7.0
تظاهر عشرات الآلاف من المسلمين في الهند احتجاجا على التعديلات الأخيرة لقانون الأوقاف، التي تهدف إلى توسيع سيطرة الحكومة المركزية على الممتلكات الوقفية الإسلامية.,8.7
اتهمت عائلات الأسرى الإسرائيليين في غزة، اليوم الأحد، رئيس الوزراء بنيامين نتنياهو بالتخلي عن أبنائهم وإطالة أمد الحرب لخدمة مصالحه السياسية، محذّرة من تراجع فرص إعادتهم أحياء.,1.4
انتهت الجولة الثانية من المفاوضات بشأن البرنامج النووي الإيراني بالاتفاق على عقد جولة ثالثة الأسبوع المقبل في سلطنة عمان. ووصفت مصادر إيرانية هذه المحادثات بأنها كانت بناءة.,4.7
في أجواء وصفت من قبل الإيرانيين بأنها بناءة، انتهت الجولة الثانية من المفاوضات غير المباشرة بين إيران والولايات المتحدة والتي عقدت في العاصمة الإيطالية روما.,2.4
أدت الهجمات المتكررة التي شنتها قوات الدعم السريع على العاصمة الإقليمية لمنطقة دارفور الشاسعة، إلى جعل أي تحرك للمدنيين محفوفا بالمخاطر، فضلا عن ذلك، تعرضت جميع المرافق الصحية فيها لقصف أو لهجوم.,3.2
أكد وزير الدولة بالخارجية القطرية محمد الخليفي التزام بلاده بإحياء اتفاق غزة رغم الصعوبات، معربا عن قلق الدوحة من بطء مسار التفاوض.,3.5
قضت محكمة في مدغشقر بسجن نائب برلماني عشر سنوات بتهم تهريب السلاحف المشعة وغسل الأموال، في قضية اعتبرتها جمعيات البيئة انتصارًا لحماية التنوع البيولوجي في الجزيرة.,3.8
يعتزم برنامج الأمم المتحدة الإنمائي تقديم مساعدات لسوريا بقيمة 1.3 مليار دولار خلال ثلاث سنوات، وفق ما أعلن الأمين العام المساعد للأمم المتحدة عبد الله الدردري.,5.6
استشهد 18 فلسطينيا بقصف جيش الاحتلال لقطاع غزة منذ فجر اليوم الأحد، في وقت حذرت منظمة يونيسيف من انهيار مستشفيات الأطفال بسبب استمرار إسرائيل في منع دخول الأدوية والمساعدات الإنسانية.,0.4
